"ticker"	"name"	"rrg"	"data"	"close"	"factor"	"atr_low"	"atr_high"	"DC_low"	"DC_high"	"sd_low"	"sd_high"	"stop_loss"	"hi1"	"hi2"	"hi3"	"hi4"	"lo1"	"lo2"	"lo3"	"lo4"	"flr"	"clg"
"ABT.MI"	"ABITARE IN"	-1	2026-04-01	2.72	1	2.64256747609962	2.79743252390038	2.86	2.71	2.656407893226	2.783592106774	3.02	2.79	3.04	3.09	4.7	2.73	2.8	2.61	2.5	3.61	5.26
"ABTG.MI"	"ALFIO BARDOLLA"	-1	2026-04-01	1.39	1	1.33652947820476	1.44347052179524	1.56	1.39	1.3409373578255	1.4390626421745	1.64	1.52	1.64	1.72	3.5	1.44	1.38	1.38	1.88	1.91	3.54
"AC5.MI"	"ACINQUE"	-1	2026-03-31	2.1	1	2.06843399733043	2.13156600266957	2.18	2.06	2.07756572481009	2.12243427518991	2.2	2.14	2.2	2.44	2.67	2.06	2.1	2.06	1.66	1.66	2.5
"ADB.MI"	"AEROPORTO GUGLIELMO MARCONI DI BOLOGNA"	-1	2026-04-01	9.36	1	8.92999706837104	9.79000293162896	10.5	8.94	8.89328597833151	9.82671402166849	11.95	9.58	11.55	12.25	8.76	8.94	9.64	8.88	7.26	7.26	8.76
"AEDES.MI"	"AEDES"	-1	2026-04-01	0.08	1	0.0750530745976428	0.0849469254023573	0.09	0.08	0.0753119276906151	0.084688072309385	0.09	0.09	0.23	0.26	8.76	0.08	0.05	0.05	7.26	0.25	0.84
"AEF.MI"	"AEFFE"	-1	2026-04-01	0.2	1	0.183007814769949	0.216992185230051	0.22	0.18	0.189181822379302	0.210818177620698	0.26	0.22	0.39	0.39	1.28	0.19	0.23	0.18	0.67	0.67	2.98
"AGP.MI"	"ALTEA GREEN POWER"	-1	2026-04-01	6.57	1	6.34041791107214	6.79958208892786	6.81	6.26	6.47574759163015	6.66425240836985	7.02	6.67	6.81	8.38	8.88	6.26	6.2	6.2	4.91	4.88	9.86
"ALA.MI"	"ALA"	-1	2026-01-08	36	1	35.8878815479939	36.1121184520061	36.4	35.9	35.9465477516175	36.0534522483825	36.4	36.1	36.4	36.4	14.25	35.9	35.8	34.8	11.65	11.2	38.5
"ALFO.MI"	"ALFONSINO"	-1	2026-04-01	0.18	1	0.175901215041794	0.184098784958206	0.19	0.18	0.177327387580876	0.182672612419124	0.2	0.22	0.24	0.89	14.25	0.21	0.22	0.18	11.65	11.2	3.19
"ALK.MI"	"ALKEMY"	-1	2025-07-11	12	1	11.9809136292427	12.0190863707573	12	11.95	11.9743223704493	12.0256776295507	12	12	11.95	12.4	12.98	11.95	11.8	10.55	6.8	6.8	23.5
"ALW.MI"	"ALGOWATT"	-1	2024-11-22	0.23	1	0.229999645653718	0.230000354346282	0.23	0.23	0.23	0.23	0.23	0.24	0.26	0.28	12.98	0.23	0.22	0.14	6.8	0.47	0.72
