"sector"	"sector_score"	"name"	"ticker"	"ticker_score"	"marginabile"
"Electronic Technology"	1.93333333333333	"CEMBRE"	"CMB.MI"	5	NA
"Electronic Technology"	1.93333333333333	"COMAL"	"CML.MI"	5	NA
"Electronic Technology"	1.93333333333333	"ANTARES VISION"	"AV.MI"	4	NA
"Electronic Technology"	1.93333333333333	"AVIO"	"AVIO.MI"	4	NA
"Electronic Technology"	1.93333333333333	"LEONARDO"	"LDO.MI"	4	"si"
"Electronic Technology"	1.93333333333333	"OFFICINA STELLARE"	"OS.MI"	4	NA
"Electronic Technology"	1.93333333333333	"MATICA FINTEC"	"MFT.MI"	3	NA
"Electronic Technology"	1.93333333333333	"POWERSOFT"	"PWS.MI"	2	NA
"Electronic Technology"	1.93333333333333	"EEMS"	"EEMS.MI"	1	NA
"Electronic Technology"	1.93333333333333	"GEFRAN"	"GE.MI"	1	NA
"Electronic Technology"	1.93333333333333	"EUROTECH"	"ETH.MI"	0	NA
"Electronic Technology"	1.93333333333333	"DATALOGIC"	"DAL.MI"	-1	"si"
"Electronic Technology"	1.93333333333333	"GVS"	"GVS.MI"	-1	NA
"Electronic Technology"	1.93333333333333	"OLIDATA"	"OLI.MI"	-1	NA
"Electronic Technology"	1.93333333333333	"SECO"	"IOT.MI"	-1	NA
"Non-Energy Minerals"	1.33333333333333	"CEMENTIR HOLDING"	"CEM.MI"	5	NA
"Non-Energy Minerals"	1.33333333333333	"BUZZI"	"BZU.MI"	3	NA
"Non-Energy Minerals"	1.33333333333333	"KME GROUP"	"KME.MI"	3	NA
"Non-Energy Minerals"	1.33333333333333	"CALTAGIRONE"	"CALT.MI"	1	NA
"Non-Energy Minerals"	1.33333333333333	"FRANCHI UMBERTO MARMI"	"FUM.MI"	-1	NA
"Non-Energy Minerals"	1.33333333333333	"TENARIS"	"TEN.MI"	-3	"si"
"Retail Trade"	1.33333333333333	"UNIEURO"	"UNIR.MI"	5	"si"
"Retail Trade"	1.33333333333333	"TRENDEVICE"	"TD.MI"	3	NA
"Retail Trade"	1.33333333333333	"TALEA GROUP"	"TALEA.MI"	1	NA
"Retail Trade"	1.33333333333333	"E.P.H"	"EPH.MI"	0	NA
"Retail Trade"	1.33333333333333	"IVS GROUP"	"IVS.MI"	0	NA
"Retail Trade"	1.33333333333333	"OVS"	"OVS.MI"	-1	"si"
"Industrial Services"	1	"DBA GROUP"	"DBA.MI"	5	NA
"Industrial Services"	1	"GREENTHESIS"	"GTH.MI"	4	NA
"Industrial Services"	1	"A.B.P. NOCIVELLI"	"ABP.MI"	1	NA
"Industrial Services"	1	"PLC"	"PLC.MI"	1	NA
"Industrial Services"	1	"SAIPEM"	"SPM.MI"	1	"si"
"Industrial Services"	1	"WEBUILD"	"WBD.MI"	1	"si"
"Industrial Services"	1	"INNOVATEC"	"INC.MI"	-1	NA
"Industrial Services"	1	"TREVI FIN IND"	"TFIN.MI"	-1	NA
"Industrial Services"	1	"MAIRE"	"MAIRE.MI"	-2	"si"
"Consumer Services"	1	"I GRANDI VIAGGI"	"IGV.MI"	5	NA
