volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
0	2.67	2.67	2.67	2.67	2.25	LFG.MI	2.67	2.67	2.67	2.67			0.0			0																																						
600	2.71	2.7	2.71	2.7	2.27	LFG.MI	2.68	2.68	2.67	2.67			0.0			0							2.71																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
2400	2.77	2.65	2.65	2.65	2.23	LFG.MI	2.69	2.81	2.69	2.69			0.0			0																			2.81												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	2.65	2.65	2.65	2.65	2.23	LFG.MI	2.72	2.72	2.72	2.72			0.0			0																				2.72											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	2.65	2.65	2.65	2.65	2.23	LFG.MI	2.77	2.77	2.77	2.77			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	2.65	2.65	2.65	2.65	2.23	LFG.MI	2.78	2.78	2.78	2.78			0.0			0																			2.78												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	2.65	2.65	2.65	2.65	2.23	LFG.MI	2.75	2.75	2.75	2.75			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
300	2.65	2.65	2.65	2.65	2.23	LFG.MI	2.73	2.73	2.73	2.73			0.0			0																				2.73											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	2.65	2.65	2.65	2.65	2.23	LFG.MI	2.77	2.77	2.77	2.77			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	2.65	2.65	2.65	2.65	2.23	LFG.MI	2.86	2.86	2.86	2.86			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
2700	2.68	2.62	2.68	2.62	2.21	LFG.MI	2.97	2.97	2.91	2.91			0.0			0								2.62											2.97												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3300	2.66	2.64	2.65	2.64	2.22	LFG.MI	2.91	2.92	2.9	2.9			0.0			0							2.66													2.9											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	2.64	2.64	2.64	2.64	2.22	LFG.MI	3.05	3.05	3.05	3.05			0.0			0								2.64											3.05		3.05										0.0	0.0	0.0	0.0	0.0	0.0		0.0
300	2.65	2.65	2.65	2.65	2.23	LFG.MI	2.93	2.93	2.93	2.93			0.0			0							2.65																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1500	2.56	2.54	2.54	2.56	2.16	LFG.MI	2.77	2.79	2.77	2.79			0.0			0								2.54												2.77											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	2.56	2.56	2.56	2.56	2.16	LFG.MI	2.85	2.85	2.85	2.85			0.0			0							2.56												2.85												0.0	0.0	0.0	0.0	0.0	0.0		0.0
600	2.54	2.5	2.5	2.54	2.14	LFG.MI	2.74	2.78	2.74	2.78			0.0			0								2.5												2.74		2.74									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	2.54	2.54	2.54	2.54	2.14	LFG.MI	2.79	2.79	2.79	2.79			0.0			0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	2.54	2.54	2.54	2.54	2.14	LFG.MI	2.9	2.9	2.9	2.9			0.0			0																			2.9												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	2.54	2.54	2.54	2.54	2.14	LFG.MI	2.82	2.82	2.82	2.82			0.0			0																				2.82											0.0	0.0	0.0	0.0	0.0	0.0		0.0
3300	2.65	2.6	2.6	2.64	2.22	LFG.MI	2.92	2.97	2.92	2.96			0.0			0							2.65																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
300	2.59	2.59	2.59	2.59	2.18	LFG.MI	3.0	3.0	3.0	3.0			0.0			0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	2.59	2.59	2.59	2.59	2.18	LFG.MI	3.08	3.08	3.08	3.08			0.0		1.0	0																			3.08												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	2.59	2.59	2.59	2.59	2.18	LFG.MI	3.05	3.05	3.05	3.05			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1500	2.52	2.52	2.52	2.52	2.12	LFG.MI	3.03	3.03	3.03	3.03			0.0		1.0	0																				3.03											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1500	2.49	2.46	2.46	2.49	2.1	LFG.MI	3.1	3.14	3.1	3.14			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1500	2.44	2.44	2.44	2.44	2.06	LFG.MI	3.18	3.18	3.18	3.18			0.0		1.0	0								2.44		2.44																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3000	2.63	2.46	2.46	2.62	2.21	LFG.MI	3.05	3.26	3.05	3.25			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
