volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
1216008	2.12	1.85	2.02	1.85	1.85	CBB.MI	2.02	2.12	1.85	1.85			0.0			0																		2.12													2.12									
194061	1.91	1.76	1.87	1.79	1.79	CBB.MI	1.89	1.92	1.77	1.8			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
44142	1.82	1.78	1.79	1.79	1.79	CBB.MI	1.81	1.84	1.8	1.81			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
66630	1.81	1.73	1.81	1.78	1.78	CBB.MI	1.84	1.84	1.76	1.81			0.0			0								1.73													1.76												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
55803	1.82	1.75	1.78	1.78	1.78	CBB.MI	1.85	1.89	1.82	1.85			0.0			0																				1.89													0.0	0.0	0.0	0.0	0.0	0.0		0.0
21654	1.82	1.75	1.75	1.8	1.8	CBB.MI	1.8	1.88	1.8	1.85			0.0			0																					1.8												0.0	0.0	0.0	0.0	0.0	0.0		0.0
14991	1.82	1.78	1.82	1.82	1.82	CBB.MI	1.87	1.87	1.82	1.87			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
29150	1.91	1.84	1.91	1.84	1.84	CBB.MI	2.01	2.01	1.93	1.93			0.0			0							1.91													2.01		2.01											0.0	0.0	0.0	0.0	0.0	0.0		0.0
9161	1.84	1.73	1.84	1.73	1.73	CBB.MI	1.96	1.96	1.84	1.84			0.0			0								1.73		1.73											1.84												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4997	1.79	1.75	1.75	1.76	1.76	CBB.MI	1.87	1.91	1.87	1.89			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
19989	1.79	1.78	1.79	1.78	1.78	CBB.MI	1.92	1.93	1.91	1.91			0.0			0							1.79													1.93													0.0	0.0	0.0	0.0	0.0	0.0		0.0
4164	1.78	1.74	1.74	1.76	1.76	CBB.MI	1.85	1.88	1.85	1.86			0.0			0								1.74													1.85												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
61633	1.82	1.74	1.74	1.82	1.82	CBB.MI	1.89	1.98	1.89	1.98			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
5830	1.82	1.81	1.81	1.82	1.82	CBB.MI	1.97	1.99	1.97	1.99			0.0			0							1.82		1.82											1.99													0.0	0.0	0.0	0.0	0.0	0.0		0.0
4997	1.81	1.77	1.77	1.77	1.77	CBB.MI	1.9	1.94	1.9	1.91			0.0			0																					1.9												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
832	1.75	1.75	1.75	1.75	1.75	CBB.MI	1.93	1.93	1.93	1.93			0.0			0																				1.93													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	1.75	1.75	1.75	1.75	1.75	CBB.MI	1.9	1.9	1.9	1.9			0.0			0								1.75																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.75	1.75	1.75	1.75	1.75	CBB.MI	1.86	1.86	1.86	1.86			0.0			0																					1.86												0.0	0.0	0.0	0.0	0.0	0.0		0.0
2498	1.82	1.75	1.8	1.75	1.75	CBB.MI	1.94	1.96	1.89	1.89			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
1665	1.81	1.79	1.79	1.81	1.81	CBB.MI	1.9	1.92	1.9	1.92			0.0			0							1.81																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.81	1.81	1.81	1.81	1.81	CBB.MI	1.92	1.92	1.92	1.92			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
832	1.79	1.79	1.79	1.79	1.79	CBB.MI	1.93	1.93	1.93	1.93			0.0			0																				1.93													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
13326	1.79	1.75	1.76	1.79	1.79	CBB.MI	1.88	1.91	1.87	1.91			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
