date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	0	0.28	0.28	0.28	0.28	0.2	POPR.MI	0.28	0.28	0.28	0.28						0																														
2016-01-05 08:00:00	0	0.28	0.28	0.28	0.28	0.2	POPR.MI	0.28	0.28	0.28	0.28						0																														
2016-01-06 08:00:00	20000	0.29	0.28	0.28	0.28	0.2	POPR.MI	0.29	0.29	0.29	0.29						0																														
2016-01-07 08:00:00	0	0.28	0.28	0.28	0.28	0.2	POPR.MI	0.29	0.29	0.29	0.29						0																														
2016-01-08 08:00:00	16000	0.28	0.28	0.28	0.28	0.19	POPR.MI	0.29	0.29	0.29	0.29						0																				0.29										
2016-01-11 08:00:00	16000	0.28	0.28	0.28	0.28	0.19	POPR.MI	0.29	0.29	0.29	0.29						0																														
2016-01-12 08:00:00	0	0.28	0.28	0.28	0.28	0.19	POPR.MI	0.29	0.29	0.29	0.29						0																														
2016-01-13 08:00:00	0	0.28	0.28	0.28	0.28	0.19	POPR.MI	0.28	0.28	0.28	0.28						0																					0.28									
2016-01-14 08:00:00	0	0.28	0.28	0.28	0.28	0.19	POPR.MI	0.29	0.29	0.29	0.29						0																														
2016-01-15 08:00:00	16000	0.28	0.27	0.28	0.27	0.19	POPR.MI	0.3	0.3	0.29	0.29						0																														
2016-01-18 08:00:00	0	0.27	0.27	0.27	0.27	0.19	POPR.MI	0.3	0.3	0.3	0.3						0								0.27																						
2016-01-19 08:00:00	0	0.27	0.27	0.27	0.27	0.19	POPR.MI	0.3	0.3	0.3	0.3						0																														
2016-01-20 08:00:00	4000	0.28	0.28	0.28	0.28	0.2	POPR.MI	0.32	0.32	0.32	0.32						0							0.28													0.32										
2016-01-21 08:00:00	28000	0.27	0.26	0.27	0.26	0.18	POPR.MI	0.3	0.3	0.29	0.29						0																														
2016-01-22 08:00:00	0	0.26	0.26	0.26	0.26	0.18	POPR.MI	0.28	0.28	0.28	0.28						0																					0.28									
2016-01-25 08:00:00	0	0.26	0.26	0.26	0.26	0.18	POPR.MI	0.29	0.29	0.29	0.29						0								0.26																						
2016-01-26 08:00:00	0	0.26	0.26	0.26	0.26	0.18	POPR.MI	0.29	0.29	0.29	0.29						0																														
2016-01-27 08:00:00	0	0.26	0.26	0.26	0.26	0.18	POPR.MI	0.29	0.29	0.29	0.29						0																														
