volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
859316	3.79	3.53	3.57	3.75	3.36	PTR.MI	3.57	3.79	3.53	3.75			0.0			0																																								
329252	3.84	3.62	3.79	3.74	3.35	PTR.MI	3.78	3.84	3.62	3.74			0.0			0							3.84																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
98299	3.74	3.63	3.73	3.71	3.32	PTR.MI	3.81	3.82	3.7	3.79			0.0			0																				3.82													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
56648	3.73	3.65	3.7	3.69	3.3	PTR.MI	3.76	3.79	3.71	3.75			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
56036	3.72	3.6	3.7	3.69	3.3	PTR.MI	3.72	3.74	3.62	3.71			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
71079	3.68	3.52	3.68	3.57	3.19	PTR.MI	3.68	3.68	3.52	3.57			0.0			0																					3.52												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
37148	3.63	3.53	3.6	3.59	3.21	PTR.MI	3.63	3.66	3.56	3.62			0.0			0																				3.66													0.0	0.0	0.0	0.0	0.0	0.0		0.0
21800	3.62	3.52	3.62	3.52	3.15	PTR.MI	3.66	3.66	3.56	3.56			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
69299	3.62	3.3	3.5	3.43	3.07	PTR.MI	3.56	3.68	3.36	3.49			0.0			0																	3.3				3.36		3.36										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
324435	3.52	3.3	3.43	3.48	3.11	PTR.MI	3.56	3.65	3.42	3.61			0.0			0								3.3																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
29251	3.55	3.43	3.5	3.55	3.18	PTR.MI	3.61	3.66	3.54	3.66			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
13465	3.6	3.46	3.6	3.59	3.22	PTR.MI	3.69	3.69	3.54	3.68			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
10463	3.61	3.52	3.52	3.6	3.22	PTR.MI	3.69	3.79	3.69	3.78			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
8335	3.62	3.54	3.58	3.62	3.24	PTR.MI	3.81	3.85	3.76	3.85			0.0			0																																	0.0	0.0	0.0	0.0	0.0	0.0		0.0
6164	3.62	3.6	3.62	3.62	3.24	PTR.MI	3.87	3.87	3.85	3.87			0.0			0							3.62													3.87													0.0	0.0	0.0	0.0	0.0	0.0		0.0
939	3.6	3.48	3.6	3.56	3.19	PTR.MI	3.87	3.87	3.74	3.83			0.0			0								3.48																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
10770	3.62	3.45	3.57	3.62	3.24	PTR.MI	3.78	3.84	3.65	3.84			0.0			0																					3.65												0.0	0.0	0.0	0.0	0.0	0.0		0.0
26321	3.65	3.46	3.62	3.61	3.23	PTR.MI	3.93	3.97	3.76	3.92			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1924	3.6	3.54	3.6	3.6	3.22	PTR.MI	3.92	3.92	3.85	3.92			0.0			0																				3.92													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
210	3.6	3.59	3.6	3.59	3.21	PTR.MI	3.87	3.87	3.86	3.86			0.0			0							3.6														3.86												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7918	3.59	3.46	3.59	3.57	3.19	PTR.MI	3.96	3.96	3.82	3.94			0.0			0																				3.96		3.96											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
800	3.58	3.5	3.58	3.5	3.13	PTR.MI	3.89	3.89	3.8	3.8			0.0			0																																	-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
72	3.52	3.4	3.52	3.52	3.15	PTR.MI	3.75	3.75	3.62	3.75			0.0			0								3.4													3.62												0.0	0.0	0.0	0.0	0.0	0.0		0.0
